latitud,longitud,comuna
"-34,6289937","-58,3918844",4
"-34,6292464","-58,3918351",4
"-34,6293307","-58,3918187",4
"-34,62986","-58,3932219",4
"-34,6301933","-58,3958984",4
"-34,630179","-58,3958226",4
"-34,6314195","-58,400296",4
"-34,6317651","-58,4009006",4
"-34,5418556","-58,4747442",12
"-34,540552","-58,47497",12
"-34,5418254","-58,4742447",12
"-34,5513063","-58,4725275",12
"-34,5526165","-58,4748974",12
"-34,555528","-58,4801552",12
"-34,6268927","-58,3857806",1
"-34,5611375","-58,4916982",12
"-34,6220974","-58,3858804",1
"-34,6197734","-58,3858872",1
"-34,562158","-58,4938398",12
"-34,5662978","-58,5024332",12
"-34,567555","-58,505038",12
"-34,6175746","-58,3859254",1
"-34,6153775","-58,3859551",1
"-34,6132115","-58,3861501",1
"-34,6130683","-58,3861611",1
"-34,6109647","-58,3861947",1
"-34,6107651","-58,3862072",1
"-34,6103334","-58,3875068",1
"-34,610522","-58,3874927",1
"-34,6108416","-58,3874687",1
"-34,5535017","-58,4979956",12
"-34,6138338","-58,3874636",1
"-34,614132","-58,387462",1
"-34,614233","-58,3874581",1
"-34,6157279","-58,387434",1
"-34,6158108","-58,3874336",1
"-34,5551231","-58,4934836",12
"-34,5550069","-58,4910115",12
"-34,5551801","-58,4913852",12
"-34,6180975","-58,3874082",1
"-34,6183669","-58,3873955",1
"-34,6201331","-58,38726",1
"-34,6077879","-58,371634",1
"-34,622731","-58,3871289",1
"-34,6377289","-58,4020814",4
"-34,641216","-58,3998125",4
"-34,640841","-58,3970538",4
"-34,637948","-58,3982091",4
"-34,6371987","-58,399326",4
"-34,6358393","-58,3973015",4
"-34,6353227","-58,3992196",4
"-34,6345738","-58,3994694",4
"-34,6307854","-58,3822511",1
"-34,6272281","-58,3924924",3
"-34,627243","-58,3925489",3
"-34,6279973","-58,3964462",3
"-34,630001","-58,3964344",4
"-34,630857","-58,396125",4
"-34,6324386","-58,3957801",4
"-34,6309409","-58,3839737",1
"-34,6331981","-58,3967355",4
"-34,6319204","-58,3974146",4
"-34,6308003","-58,3976336",4
"-34,6285874","-58,3984709",4
"-34,6285938","-58,4006175",3
"-34,60822","-58,3812416",1
"-34,6075675","-58,3813051",1
"-34,60706","-58,3813201",1
"-34,6063572","-58,3813776",1
"-34,6057","-58,3813872",1
"-34,60527","-58,3814211",1
"-34,6022988","-58,3815806",1
"-34,6017534","-58,3815878",1
"-34,6011065","-58,3816184",1
"-34,6005385","-58,3816713",1
"-34,5999471","-58,3816753",1
"-34,5995237","-58,381696",1
"-34,5987484","-58,3817786",1
"-34,5982227","-58,3818096",1
"-34,5970103","-58,3819003",1
"-34,5964015","-58,3819846",1
"-34,5958869","-58,3820415",1
"-34,5959071","-58,3822446",1
"-34,5964246","-58,3821772",1
"-34,5970609","-58,3821066",1
"-34,5982443","-58,3820285",1
"-34,59878","-58,3819708",1
"-34,5995285","-58,3819634",1
"-34,5999559","-58,3819012",1
"-34,6005305","-58,3819139",1
"-34,6011023","-58,3818841",1
"-34,6017411","-58,3818412",1
"-34,60231","-58,3818011",1
"-34,6052752","-58,3816672",1
"-34,60571","-58,3816512",1
"-34,6063595","-58,3815716",1
"-34,6070578","-58,3815296",1
"-34,60758","-58,3815168",1
"-34,6082339","-58,3814746",1
"-34,6053117","-58,3787865",1
"-34,6051783","-58,3788659",1
"-34,6074967","-58,3746419",1
"-34,60756","-58,3745089",1
"-34,6077088","-58,3742305",1
